shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark
O,849,171,#0064FF,35,False,180,48,True
L,1256,97,#FF8C00,35,False,180,3,True
L,510,603,#0064FF,15,True,270,21,True
L,1243,865,#0064FF,15,True,0,3,True
T,1799,613,#0064FF,15,True,0,192,False
Q,834,237,#FF8C00,35,False,180,1,True
Q,1101,693,#0064FF,15,True,270,194,False
Q,1695,663,#FF8C00,15,True,0,194,False
T,1507,867,#FF8C00,15,True,90,194,False
T,1584,616,#0064FF,35,False,0,188,False
Q,89,759,#FF8C00,35,False,0,192,False
O,417,631,#FF8C00,15,True,180,10,True
Q,547,202,#FF8C00,15,True,180,194,False
T,1267,671,#0064FF,15,True,180,189,False
Q,491,989,#FF8C00,15,True,270,191,False
T,874,911,#FF8C00,35,False,0,179,False
T,885,714,#FF8C00,15,True,270,201,False
O,1622,64,#FF8C00,35,False,0,184,False
T,1771,511,#FF8C00,15,True,270,185,False
T,775,241,#FF8C00,35,False,0,10,True
Q,1003,889,#FF8C00,15,True,180,191,False
T,1078,503,#0064FF,35,False,270,202,False
T,217,791,#0064FF,35,False,90,200,False
Q,1822,1028,#0064FF,35,False,270,196,False
Q,839,647,#0064FF,35,False,180,182,False
Q,1656,214,#0064FF,35,False,270,189,False
T,1282,578,#0064FF,35,False,270,189,False
Q,1265,494,#FF8C00,35,False,90,193,False
T,1452,570,#FF8C00,15,True,0,194,False
T,986,790,#0064FF,15,True,270,189,False
T,1384,350,#FF8C00,35,False,90,182,False
O,537,662,#0064FF,15,True,270,60,True
Q,1005,217,#FF8C00,15,True,0,191,False
T,394,205,#0064FF,35,False,180,180,False
Q,301,862,#0064FF,35,False,270,186,False
Q,1418,775,#0064FF,15,True,270,187,False
T,81,1000,#FF8C00,15,True,180,174,False
Q,1794,939,#0064FF,35,False,180,197,False
T,1472,774,#FF8C00,35,False,90,197,False
Q,1177,239,#0064FF,15,True,0,174,False
