shape,center_x,center_y,color_hex,size_px,is_small,rotation_deg,bg_luminance
T,302,420,#0064FF,30,False,270,84
O,630,358,#FF8C00,30,False,270,100
Q,333,282,#0064FF,30,False,180,83
Q,201,288,#0064FF,15,True,180,92
Q,582,259,#FF8C00,15,True,180,82
Q,595,56,#FF8C00,15,True,270,113
T,69,155,#0064FF,30,False,180,151
T,445,431,#FF8C00,30,False,270,94
Q,192,121,#0064FF,30,False,90,96
O,234,90,#FF8C00,30,False,90,96
T,432,151,#0064FF,30,False,270,87
Q,185,356,#FF8C00,30,False,180,109
T,297,129,#0064FF,30,False,90,84
Q,144,185,#0064FF,15,True,180,107
T,594,131,#0064FF,15,True,180,85
L,562,173,#0064FF,15,True,180,80
Q,580,424,#FF8C00,30,False,90,103
Q,524,274,#0064FF,30,False,90,86
T,644,233,#FF8C00,15,True,270,94
Q,55,366,#FF8C00,30,False,180,170
T,609,475,#0064FF,15,True,270,137
O,425,281,#FF8C00,15,True,90,85
L,423,226,#0064FF,30,False,270,80
T,406,470,#0064FF,15,True,180,100
Q,203,455,#FF8C00,30,False,270,121
O,340,349,#0064FF,30,False,90,80
O,256,236,#FF8C00,15,True,180,80
Q,581,312,#FF8C00,30,False,270,84
T,376,418,#FF8C00,15,True,180,87
Q,699,445,#FF8C00,15,True,0,161
O,484,378,#0064FF,30,False,270,82
Q,688,52,#FF8C00,15,True,180,139
T,468,189,#0064FF,30,False,90,84
T,99,210,#0064FF,30,False,180,134
L,345,172,#0064FF,30,False,270,80
T,710,377,#FF8C00,15,True,180,148
T,506,470,#FF8C00,30,False,180,119
L,90,330,#0064FF,15,True,180,155
Q,690,281,#FF8C00,30,False,270,117
L,259,314,#0064FF,30,False,90,87
T,195,234,#0064FF,15,True,270,90
T,660,174,#FF8C00,15,True,90,100
O,470,252,#FF8C00,15,True,270,84
T,154,264,#0064FF,30,False,270,109
L,513,113,#FF8C00,30,False,270,87
Q,138,390,#FF8C00,30,False,270,144
T,405,93,#0064FF,15,True,90,100
T,512,220,#0064FF,15,True,270,84
T,631,529,#0064FF,15,True,180,165
Q,243,382,#FF8C00,15,True,90,94
Q,141,70,#0064FF,30,False,0,135
Q,133,508,#FF8C00,15,True,90,166
Q,706,210,#FF8C00,30,False,0,117
T,86,263,#0064FF,30,False,90,146
Q,469,60,#FF8C00,30,False,90,110
Q,630,282,#FF8C00,15,True,90,92
O,495,315,#FF8C00,15,True,90,80
Q,426,347,#FF8C00,15,True,270,80
T,322,520,#0064FF,15,True,0,120
T,520,55,#FF8C00,15,True,90,111
Q,97,460,#FF8C00,15,True,0,168
Q,52,101,#FF8C00,30,False,90,166
Q,212,518,#FF8C00,15,True,180,144
L,558,379,#0064FF,15,True,180,93
T,423,522,#0064FF,15,True,270,132
O,248,181,#FF8C00,30,False,90,85
T,353,232,#0064FF,30,False,270,80
Q,253,482,#0064FF,15,True,90,113
Q,106,117,#0064FF,15,True,0,137
T,569,524,#0064FF,15,True,90,153
L,700,125,#0064FF,15,True,270,121
L,55,500,#0064FF,15,True,0,175
Q,142,324,#FF8C00,15,True,90,126
T,310,68,#0064FF,30,False,90,103
T,63,51,#0064FF,30,False,0,168
T,659,476,#FF8C00,30,False,90,154
L,643,92,#FF8C00,30,False,270,106
O,153,447,#FF8C00,15,True,90,148
Q,354,463,#FF8C00,30,False,90,94
T,694,514,#0064FF,30,False,180,171
