shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark
L,268,180,#0064FF,35,False,0,9,True
L,1207,83,#0064FF,15,True,0,0,True
L,377,903,#FF8C00,35,False,90,0,True
O,1449,986,#0064FF,35,False,0,20,True
T,1655,126,#FF8C00,15,True,0,170,False
Q,1259,928,#0064FF,35,False,270,181,False
Q,875,234,#FF8C00,35,False,180,188,False
Q,84,877,#0064FF,15,True,90,193,False
T,1128,243,#FF8C00,15,True,90,180,False
Q,1568,197,#FF8C00,15,True,0,184,False
L,486,940,#FF8C00,35,False,270,15,True
O,63,54,#FF8C00,15,True,0,3,True
O,361,843,#FF8C00,35,False,180,31,True
T,1712,307,#FF8C00,35,False,180,187,False
T,1737,141,#FF8C00,15,True,270,191,False
T,1019,220,#0064FF,35,False,90,193,False
T,1771,1011,#0064FF,15,True,180,193,False
Q,1061,588,#FF8C00,15,True,180,185,False
T,864,367,#FF8C00,15,True,270,185,False
T,1114,686,#FF8C00,35,False,90,180,False
T,895,310,#0064FF,35,False,270,180,False
T,111,174,#0064FF,15,True,0,112,False
Q,1785,168,#0064FF,35,False,90,194,False
Q,366,747,#FF8C00,15,True,180,178,False
L,1267,153,#FF8C00,15,True,90,6,True
Q,172,466,#0064FF,35,False,0,179,False
Q,708,256,#FF8C00,15,True,270,189,False
T,1776,713,#0064FF,35,False,0,194,False
T,940,598,#0064FF,35,False,270,191,False
Q,1120,797,#0064FF,35,False,0,199,False
T,765,487,#FF8C00,35,False,0,193,False
T,1007,1000,#0064FF,15,True,270,194,False
Q,305,783,#0064FF,35,False,270,180,False
T,1600,505,#0064FF,15,True,90,199,False
Q,735,61,#0064FF,15,True,270,196,False
Q,1055,905,#FF8C00,35,False,180,194,False
O,226,99,#0064FF,15,True,180,0,True
Q,1217,399,#FF8C00,15,True,180,185,False
O,1442,828,#0064FF,15,True,90,75,True
O,191,63,#FF8C00,35,False,0,0,True
