shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark
L,439,94,#FF8C00,35,False,90,40,True
L,646,288,#0064FF,35,False,180,7,True
O,240,509,#0064FF,35,False,90,0,True
L,844,602,#0064FF,15,True,270,0,True
T,808,352,#FF8C00,35,False,90,180,False
O,390,137,#0064FF,35,False,270,62,True
Q,752,380,#0064FF,35,False,270,172,False
Q,607,136,#FF8C00,15,True,90,193,False
T,345,291,#0064FF,15,True,90,193,False
T,615,685,#0064FF,15,True,180,201,False
Q,884,239,#0064FF,35,False,90,180,False
L,403,634,#FF8C00,35,False,270,25,True
Q,474,519,#FF8C00,15,True,0,188,False
L,71,111,#FF8C00,15,True,90,194,False
O,714,521,#FF8C00,15,True,180,187,False
T,419,269,#FF8C00,35,False,0,202,False
Q,132,68,#0064FF,35,False,270,201,False
O,714,252,#FF8C00,15,True,0,24,True
