shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark
O,365,315,#0064FF,35,False,0,1,True
O,592,331,#FF8C00,15,True,270,21,True
L,180,740,#0064FF,35,False,270,0,True
L,933,651,#FF8C00,15,True,270,1,True
Q,272,695,#FF8C00,15,True,0,164,False
T,830,617,#FF8C00,15,True,270,175,False
Q,227,411,#FF8C00,35,False,180,194,False
Q,332,406,#0064FF,35,False,90,173,False
L,799,263,#FF8C00,35,False,90,7,True
T,473,444,#FF8C00,35,False,270,194,False
Q,930,75,#0064FF,15,True,270,201,False
Q,480,336,#0064FF,35,False,180,184,False
Q,157,627,#FF8C00,35,False,180,177,False
T,358,519,#0064FF,15,True,0,201,False
T,340,648,#0064FF,15,True,270,194,False
T,641,509,#FF8C00,15,True,0,194,False
T,67,169,#FF8C00,35,False,270,194,False
T,592,278,#0064FF,35,False,90,14,True
O,707,299,#0064FF,15,True,90,0,True
Q,801,411,#0064FF,35,False,180,188,False
Q,86,653,#0064FF,35,False,270,171,False
Q,294,559,#0064FF,15,True,0,194,False
T,271,497,#0064FF,15,True,90,194,False
T,593,476,#0064FF,35,False,90,194,False
T,324,275,#0064FF,35,False,90,0,True
T,287,68,#FF8C00,15,True,270,158,False
T,844,552,#FF8C00,35,False,270,194,False
O,162,468,#0064FF,35,False,90,196,False
L,855,285,#0064FF,15,True,270,10,True
Q,734,591,#0064FF,35,False,180,198,False
T,779,563,#FF8C00,15,True,180,196,False
T,499,712,#0064FF,15,True,90,194,False
T,936,507,#FF8C00,15,True,180,194,False
Q,576,598,#FF8C00,35,False,180,194,False
T,710,514,#0064FF,35,False,270,202,False
Q,66,219,#FF8C00,15,True,270,193,False
Q,164,123,#0064FF,35,False,0,189,False
Q,533,142,#FF8C00,15,True,0,194,False
O,903,350,#FF8C00,35,False,270,168,False
T,343,75,#0064FF,35,False,0,179,False
Q,676,257,#0064FF,15,True,90,0,True
Q,259,161,#FF8C00,15,True,90,10,True
T,736,730,#0064FF,15,True,90,194,False
T,608,111,#FF8C00,35,False,180,199,False
Q,171,330,#0064FF,15,True,180,193,False
Q,76,88,#FF8C00,35,False,180,197,False
Q,789,179,#FF8C00,15,True,180,24,True
Q,456,601,#FF8C00,15,True,270,194,False
T,236,220,#FF8C00,35,False,0,25,True
Q,97,421,#FF8C00,15,True,180,202,False
Q,176,536,#0064FF,35,False,180,202,False
Q,404,560,#0064FF,35,False,270,194,False
Q,617,656,#0064FF,35,False,90,191,False
T,571,528,#0064FF,15,True,90,194,False
T,682,581,#FF8C00,35,False,0,194,False
Q,192,66,#FF8C00,35,False,270,201,False
T,321,458,#0064FF,35,False,90,200,False
Q,495,560,#FF8C00,35,False,0,199,False
Q,408,125,#0064FF,35,False,90,188,False
T,244,648,#0064FF,35,False,90,191,False
Q,769,466,#0064FF,15,True,180,194,False
O,898,690,#FF8C00,15,True,180,21,True
T,519,261,#FF8C00,15,True,0,168,False
Q,888,216,#0064FF,35,False,0,34,True
T,467,121,#0064FF,35,False,270,194,False
T,887,478,#FF8C00,35,False,0,194,False
Q,231,749,#0064FF,15,True,0,12,True
T,410,489,#0064FF,15,True,0,194,False
T,576,741,#0064FF,15,True,180,193,False
Q,119,334,#FF8C00,35,False,0,199,False
Q,565,687,#0064FF,15,True,270,194,False
Q,653,63,#FF8C00,15,True,180,194,False
L,339,181,#0064FF,15,True,270,17,True
T,474,176,#0064FF,15,True,0,189,False
Q,522,401,#FF8C00,15,True,90,189,False
Q,717,386,#FF8C00,15,True,0,164,False
T,94,487,#0064FF,15,True,180,196,False
T,405,656,#FF8C00,15,True,0,198,False
T,402,714,#FF8C00,35,False,0,194,False
T,581,412,#0064FF,15,True,0,164,False
T,540,641,#FF8C00,35,False,180,194,False
T,650,416,#FF8C00,35,False,90,173,False
Q,176,280,#0064FF,35,False,180,165,False
Q,490,62,#FF8C00,15,True,90,194,False
T,127,719,#FF8C00,15,True,0,21,True
T,235,338,#FF8C00,15,True,90,181,False
Q,830,89,#0064FF,15,True,0,165,False
Q,727,172,#FF8C00,35,False,0,76,True
T,374,234,#0064FF,15,True,180,9,True
Q,836,459,#FF8C00,15,True,180,201,False
Q,83,274,#0064FF,35,False,90,194,False
L,907,599,#FF8C00,35,False,180,77,True
T,896,405,#FF8C00,35,False,270,196,False
T,741,644,#FF8C00,35,False,0,194,False
T,788,710,#0064FF,35,False,180,194,False
