shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark
L,271,132,#0064FF,35,False,0,6,True
L,817,114,#0064FF,15,True,180,18,True
O,74,502,#FF8C00,15,True,270,24,True
L,763,750,#0064FF,35,False,270,7,True
Q,486,373,#FF8C00,35,False,270,194,False
O,335,121,#FF8C00,35,False,90,28,True
Q,645,289,#FF8C00,15,True,0,194,False
Q,274,597,#FF8C00,35,False,270,196,False
Q,567,725,#FF8C00,35,False,90,194,False
T,104,295,#0064FF,15,True,180,200,False
Q,587,416,#FF8C00,15,True,90,194,False
Q,109,72,#FF8C00,15,True,270,194,False
T,650,581,#0064FF,35,False,0,181,False
T,200,628,#0064FF,35,False,90,202,False
L,783,234,#0064FF,15,True,90,5,True
T,346,720,#0064FF,15,True,0,193,False
T,507,173,#0064FF,35,False,0,193,False
T,201,255,#0064FF,15,True,180,189,False
Q,699,78,#FF8C00,15,True,90,163,False
T,605,105,#0064FF,15,True,270,197,False
T,871,688,#0064FF,15,True,0,25,True
O,824,624,#FF8C00,15,True,180,5,True
Q,932,150,#FF8C00,35,False,90,167,False
Q,914,472,#FF8C00,35,False,0,198,False
T,498,555,#0064FF,35,False,270,199,False
T,448,717,#0064FF,35,False,180,199,False
Q,221,726,#FF8C00,15,True,270,197,False
T,598,160,#0064FF,35,False,270,194,False
T,738,360,#0064FF,15,True,270,189,False
T,622,230,#0064FF,15,True,270,201,False
T,416,219,#0064FF,15,True,0,38,True
Q,527,333,#FF8C00,35,False,90,198,False
Q,377,329,#FF8C00,15,True,180,158,False
T,502,457,#0064FF,35,False,180,194,False
Q,93,171,#FF8C00,15,True,90,196,False
Q,800,430,#FF8C00,35,False,90,187,False
Q,387,643,#FF8C00,35,False,180,194,False
Q,338,177,#FF8C00,35,False,270,5,True
T,249,298,#0064FF,35,False,90,175,False
Q,929,336,#FF8C00,15,True,0,188,False
