shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark,ist_fehler,bekommt_kreis
Q,137,334,#FF8C00,60,False,180,148,False,False,False
Q,1548,808,#FF8C00,30,True,0,116,True,False,False
L,633,932,#0064FF,30,True,270,51,True,True,False
Q,1463,906,#FF8C00,30,True,90,153,False,False,False
Q,1165,555,#FF8C00,30,True,270,152,False,False,False
T,351,578,#0064FF,30,True,90,123,False,False,False
T,778,263,#FF8C00,30,True,90,201,False,False,False
Q,883,995,#0064FF,60,False,180,156,False,False,False
T,1180,828,#0064FF,60,False,270,121,False,False,False
T,790,665,#0064FF,30,True,180,148,False,False,False
L,883,881,#FF8C00,30,True,0,148,False,False,False
L,1717,129,#0064FF,60,False,90,199,False,True,True
Q,743,379,#0064FF,30,True,180,187,False,False,False
T,385,478,#0064FF,30,True,0,31,True,False,False
Q,1804,976,#0064FF,30,True,270,180,False,False,False
Q,199,479,#FF8C00,60,False,180,119,True,False,False
O,95,440,#0064FF,60,False,0,89,True,False,False
Q,630,86,#FF8C00,60,False,270,182,False,False,False
T,141,159,#0064FF,30,True,0,144,False,False,False
Q,900,550,#0064FF,60,False,90,38,True,False,False
T,907,223,#0064FF,60,False,180,142,False,False,False
T,997,128,#FF8C00,30,True,270,90,True,False,False
T,1483,750,#0064FF,60,False,90,77,True,False,False
T,115,763,#0064FF,30,True,180,184,False,False,False
Q,545,543,#FF8C00,30,True,0,198,False,False,False
Q,621,465,#FF8C00,30,True,270,188,False,False,False
L,1239,615,#FF8C00,60,False,90,80,True,False,False
T,1065,656,#0064FF,60,False,90,126,False,False,False
Q,259,322,#FF8C00,30,True,0,187,False,False,False
O,314,748,#0064FF,60,False,270,180,False,False,False
Q,1180,972,#FF8C00,60,False,90,194,False,False,False
T,1667,721,#FF8C00,30,True,270,142,False,False,False
T,1530,239,#FF8C00,30,True,270,189,False,False,False
T,1612,89,#0064FF,60,False,180,194,False,False,False
Q,1336,826,#FF8C00,60,False,0,198,False,False,False
Q,979,568,#0064FF,60,False,0,98,True,False,False
T,869,423,#0064FF,60,False,90,56,True,False,False
T,1804,96,#0064FF,30,True,180,181,False,False,False
Q,306,214,#0064FF,30,True,90,194,False,False,False
Q,1296,181,#FF8C00,30,True,180,125,False,False,False
Q,1139,400,#FF8C00,30,True,0,168,False,False,False
T,1217,900,#FF8C00,60,False,90,146,False,False,False
T,942,743,#0064FF,60,False,0,116,True,False,False
L,1065,433,#0064FF,60,False,90,159,False,True,False
Q,1184,730,#FF8C00,60,False,180,101,True,False,False
O,1265,519,#FF8C00,30,True,270,67,True,True,True
Q,543,936,#0064FF,60,False,90,112,True,False,False
L,938,322,#FF8C00,30,True,270,77,True,False,False
T,399,881,#FF8C00,60,False,0,163,False,False,True
O,1158,654,#FF8C00,60,False,180,79,True,True,True
L,1664,804,#0064FF,60,False,90,141,False,True,True
Q,422,661,#FF8C00,60,False,270,152,False,False,False
Q,850,756,#FF8C00,60,False,90,136,False,False,False
Q,743,542,#FF8C00,30,True,270,161,False,False,False
T,1461,416,#0064FF,30,True,270,187,False,False,False
Q,193,841,#0064FF,60,False,270,181,False,False,True
O,401,397,#0064FF,30,True,180,47,True,False,False
Q,1135,181,#FF8C00,30,True,180,142,False,False,False
Q,683,760,#FF8C00,60,False,90,77,True,False,False
L,1395,606,#0064FF,60,False,270,178,False,True,True
T,325,959,#FF8C00,60,False,0,155,False,False,False
T,969,422,#0064FF,30,True,90,96,True,False,False
Q,1599,367,#FF8C00,30,True,270,181,False,False,False
T,1260,968,#0064FF,60,False,90,184,False,False,False
O,1029,254,#FF8C00,30,True,90,67,True,True,True
Q,1200,299,#0064FF,30,True,0,141,False,False,False
O,728,842,#FF8C00,30,True,180,90,True,True,True
T,1618,571,#0064FF,60,False,90,175,False,False,False
O,775,962,#FF8C00,60,False,0,38,True,True,True
L,680,613,#0064FF,30,True,270,132,False,True,False
O,1674,950,#FF8C00,30,True,180,155,False,True,True
T,1462,316,#0064FF,30,True,0,98,True,False,True
T,1705,435,#FF8C00,60,False,0,196,False,False,False
T,580,304,#0064FF,60,False,180,161,False,False,False
T,227,609,#FF8C00,30,True,90,151,False,False,True
T,626,677,#0064FF,60,False,270,121,False,False,False
L,1109,261,#0064FF,30,True,90,96,True,True,False
T,134,599,#0064FF,30,True,90,146,False,False,False
O,628,842,#FF8C00,60,False,270,62,True,True,True
Q,1084,561,#FF8C00,60,False,270,194,False,False,False
