shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark
L,741,235,#FF8C00,15,True,90,0,True
L,1334,449,#FF8C00,15,True,180,5,True
L,732,904,#0064FF,35,False,270,0,True
L,1617,706,#0064FF,35,False,0,0,True
T,1676,73,#0064FF,35,False,0,194,False
T,573,271,#FF8C00,35,False,180,197,False
Q,139,816,#0064FF,15,True,270,194,False
Q,78,767,#FF8C00,35,False,180,194,False
Q,1720,112,#FF8C00,15,True,90,194,False
Q,1146,642,#0064FF,35,False,270,189,False
Q,256,531,#FF8C00,35,False,270,196,False
O,1213,549,#0064FF,15,True,270,182,False
Q,1672,439,#0064FF,35,False,90,181,False
T,217,633,#0064FF,15,True,0,186,False
Q,1156,224,#FF8C00,35,False,0,189,False
T,1458,869,#0064FF,15,True,0,194,False
T,589,90,#0064FF,35,False,270,193,False
Q,1824,895,#FF8C00,15,True,0,178,False
Q,1028,736,#FF8C00,15,True,270,180,False
T,466,807,#0064FF,35,False,270,188,False
Q,1746,270,#FF8C00,15,True,90,196,False
Q,1426,606,#FF8C00,35,False,0,194,False
T,1104,744,#FF8C00,35,False,0,192,False
T,1680,794,#FF8C00,35,False,270,136,False
T,1149,383,#FF8C00,15,True,180,174,False
Q,1250,676,#0064FF,35,False,0,175,False
T,1020,839,#0064FF,35,False,270,194,False
T,1179,297,#FF8C00,15,True,0,174,False
O,730,287,#FF8C00,35,False,0,0,True
T,1380,576,#0064FF,35,False,270,194,False
O,788,272,#FF8C00,15,True,270,0,True
T,1554,306,#0064FF,15,True,0,186,False
T,273,203,#FF8C00,15,True,180,189,False
Q,64,645,#0064FF,15,True,180,202,False
Q,772,71,#0064FF,15,True,90,194,False
T,940,325,#FF8C00,15,True,180,188,False
Q,346,908,#0064FF,15,True,90,196,False
O,1260,379,#0064FF,35,False,90,12,True
Q,1348,50,#0064FF,35,False,0,180,False
T,158,948,#FF8C00,15,True,270,194,False
